Time(ms),Voltage(mV),Current(nA),Energy(uJ)
5,3300,5.9902e+006,9.88387
5.5,3300,5.9902e+006,20.1636
6,3300,5.9902e+006,30.4433
6.5,3300,6.3101e+006,41.1189
7,3300,6.3101e+006,51.7946
7.5,3300,6.3101e+006,62.4702
8,3300,6.4701e+006,73.1458
8.5,3300,6.4701e+006,84.2172
9,3300,6.4701e+006,95.2887
9.5,3300,6.71e+006,106.36
10,3300,6.71e+006,117.432
10.5,3300,6.71e+006,128.503
11,3300,6.79e+006,139.97
11.5,3300,6.79e+006,151.042
12,3300,6.79e+006,162.509
12.5,3300,6.79e+006,173.581
13,3300,6.79e+006,184.652
13.5,3300,6.79e+006,195.724
14,3300,6.79e+006,207.191
14.5,3300,6.79e+006,218.658
15,3300,6.79e+006,229.73
15.5,3300,6.71e+006,240.405
16,3300,6.71e+006,251.477
16.5,3300,6.71e+006,262.548
17,3300,6.63e+006,273.224
17.5,3300,6.63e+006,284.691
18,3300,6.63e+006,295.367
18.5,3300,6.63e+006,306.042
19,3300,6.63e+006,316.718
19.5,3300,6.63e+006,327.394
20,3300,6.3901e+006,337.673
20.5,3300,6.3901e+006,347.557
21,3300,6.3901e+006,357.441
21.5,3300,6.0702e+006,367.721
22,3300,6.0702e+006,378.001
22.5,3300,6.0702e+006,388.28
23,3300,6.2301e+006,398.56
23.5,3300,6.2301e+006,409.236
24,3300,6.2301e+006,419.119
24.5,3300,6.2301e+006,429.399
25,3300,6.2301e+006,439.679
25.5,3300,6.2301e+006,449.959
26,3300,6.2301e+006,460.238
26.5,3300,6.2301e+006,470.518
27,3300,6.2301e+006,481.59
27.5,3300,6.4701e+006,492.265
28,3300,6.4701e+006,502.941
28.5,3300,6.4701e+006,514.012
29,3300,6.55e+006,524.688
29.5,3300,6.55e+006,535.759
30,3300,6.55e+006,547.623
30.5,3300,7.0299e+006,559.486
31,3300,7.0299e+006,571.349
31.5,3300,7.0299e+006,583.212
32,3300,7.1898e+006,595.075
32.5,3300,7.1898e+006,606.939
33,3300,7.1898e+006,618.406
33.5,3300,7.0299e+006,629.873
34,3300,7.0299e+006,641.341
34.5,3300,7.0299e+006,652.016
35,3300,6.63e+006,662.692
35.5,3300,6.63e+006,672.971
36,3300,6.63e+006,683.251
36.5,3300,6.2301e+006,693.531
37,3300,6.2301e+006,703.415
37.5,3300,6.2301e+006,713.695
38,3300,6.2301e+006,724.37
38.5,3300,6.2301e+006,735.046
39,3300,6.2301e+006,745.325
39.5,3300,6.3901e+006,756.001
40,3300,6.3901e+006,766.281
40.5,3300,6.3901e+006,776.561
41,3300,6.3101e+006,787.236
41.5,3300,6.3101e+006,797.516
42,3300,6.3101e+006,807.796
42.5,3300,6.2301e+006,818.075
43,3300,6.2301e+006,828.355
43.5,3300,6.2301e+006,838.635
44,3300,6.2301e+006,848.915
44.5,3300,6.2301e+006,859.194
45,3300,6.2301e+006,869.078
45.5,3300,6.1502e+006,879.358
46,3300,6.1502e+006,890.034
46.5,3300,6.1502e+006,900.709
47,3300,6.63e+006,912.176
47.5,3300,6.63e+006,923.644
48,3300,6.63e+006,935.111
48.5,3300,6.9499e+006,946.578
49,3300,6.9499e+006,958.046
49.5,3300,6.9499e+006,969.909
50,3300,7.0299e+006,981.376
50.5,3300,7.0299e+006,993.24
51,3300,7.0299e+006,1004.71
51.5,3300,7.0299e+006,1016.17
52,3300,7.0299e+006,1027.64
52.5,3300,7.0299e+006,1038.71
53,3300,6.71e+006,1049.39
53.5,3300,6.71e+006,1060.06
54,3300,6.71e+006,1070.34
54.5,3300,6.3901e+006,1081.02
55,3300,6.3901e+006,1091.3
55.5,3300,6.3901e+006,1101.58
56,3300,6.2301e+006,1111.86
56.5,3300,6.2301e+006,1122.53
57,3300,6.2301e+006,1132.81
57.5,3300,6.3101e+006,1143.09
58,3300,6.3101e+006,1153.77
58.5,3300,6.3101e+006,1164.44
59,3300,6.4701e+006,1175.12
59.5,3300,6.4701e+006,1185.8
60,3300,6.4701e+006,1196.08
60.5,3300,6.3101e+006,1206.36
61,3300,6.3101e+006,1216.64
61.5,3300,6.3101e+006,1227.31
62,3300,6.3101e+006,1237.59
62.5,3300,6.3101e+006,1247.87
63,3300,6.3101e+006,1258.55
63.5,3300,6.4701e+006,1269.62
64,3300,6.4701e+006,1280.29
64.5,3300,6.4701e+006,1290.97
65,3300,6.55e+006,1302.04
65.5,3300,6.55e+006,1312.72
66,3300,6.55e+006,1323.79
66.5,3300,6.63e+006,1334.86
67,3300,6.63e+006,1346.33
67.5,3300,6.63e+006,1357
68,3300,6.63e+006,1367.68
68.5,3300,6.63e+006,1378.75
69,3300,6.63e+006,1389.82
69.5,3300,6.63e+006,1400.5
70,3300,6.63e+006,1411.17
70.5,3300,6.63e+006,1422.24
71,3300,6.63e+006,1433.31
71.5,3300,6.63e+006,1445.18
72,3300,6.63e+006,1456.25
72.5,3300,6.8699e+006,1467.32
73,3300,6.8699e+006,1478.39
73.5,3300,6.8699e+006,1489.07
74,3300,6.63e+006,1500.14
74.5,3300,6.63e+006,1510.81
75,3300,6.63e+006,1521.09
75.5,3300,6.3101e+006,1531.37
76,3300,6.3101e+006,1541.65
76.5,3300,6.3101e+006,1551.93
77,3300,6.3101e+006,1562.61
77.5,3300,6.3101e+006,1572.89
78,3300,6.3101e+006,1583.56
78.5,3300,6.3901e+006,1594.24
79,3300,6.3901e+006,1604.92
79.5,3300,6.3901e+006,1615.99
80,3300,6.63e+006,1627.06
80.5,3300,6.63e+006,1638.13
81,3300,6.63e+006,1648.81
81.5,3300,6.63e+006,1659.88
82,3300,6.63e+006,1670.95
82.5,3300,6.63e+006,1681.62
83,3300,6.63e+006,1692.7
83.5,3300,6.63e+006,1703.37
84,3300,6.63e+006,1713.65
84.5,3300,6.3101e+006,1723.93
85,3300,6.3101e+006,1733.81
85.5,3300,6.3101e+006,1744.09
86,3300,6.1502e+006,1754.37
86.5,3300,6.1502e+006,1764.26
87,3300,6.1502e+006,1774.93
87.5,3300,6.3101e+006,1785.61
88,3300,6.3101e+006,1796.28
88.5,3300,6.3101e+006,1807.36
89,3300,6.63e+006,1818.43
89.5,3300,6.63e+006,1829.5
90,3300,6.63e+006,1840.57
90.5,3300,6.71e+006,1851.64
91,3300,6.71e+006,1863.11
91.5,3300,6.71e+006,1874.58
92,3300,6.9499e+006,1886.04
92.5,3300,6.9499e+006,1897.12
93,3300,6.9499e+006,1908.19
93.5,3300,6.71e+006,1919.26
94,3300,6.71e+006,1929.93
94.5,3300,6.71e+006,1940.61
95,3300,6.3901e+006,1950.89
95.5,3300,6.3901e+006,1961.96
96,3300,6.3901e+006,1972.64
96.5,3300,6.55e+006,1983.31
97,3300,6.55e+006,1994.38
97.5,3300,6.55e+006,2005.46
98,3300,6.71e+006,2016.53
98.5,3300,6.71e+006,2027.99
99,3300,6.71e+006,2039.07
99.5,3300,6.8699e+006,2050.53
100,3300,6.8699e+006,2061.21
100.5,3300,6.8699e+006,2071.49
101,3300,6.3101e+006,2081.77
101.5,3300,6.3101e+006,2092.05
102,3300,6.3101e+006,2102.33
102.5,3300,6.2301e+006,2112.61
103,3300,6.2301e+006,2122.09
103.5,3300,6.2301e+006,2132.37
104,3300,5.9902e+006,2142.26
104.5,3300,5.9902e+006,2152.54
105,3300,5.9902e+006,2162.82
105.5,3300,6.2301e+006,2173.1
106,3300,6.2301e+006,2183.38
106.5,3300,6.2301e+006,2194.05
107,3300,6.3901e+006,2204.73
107.5,3300,6.3901e+006,2215.4
108,3300,6.3901e+006,2226.08
108.5,3300,6.55e+006,2237.15
109,3300,6.55e+006,2248.22
109.5,3300,6.55e+006,2259.29
110,3300,6.71e+006,2270.37
110.5,3300,6.71e+006,2281.83
111,3300,6.71e+006,2293.3
111.5,3300,6.9499e+006,2304.77
112,3300,6.9499e+006,2316.63
112.5,3300,6.9499e+006,2328.1
113,3300,7.1098e+006,2339.96
113.5,3300,7.1098e+006,2351.43
114,3300,7.1098e+006,2362.9
114.5,3300,6.8699e+006,2373.97
115,3300,6.8699e+006,2385.04
115.5,3300,6.8699e+006,2396.11
116,3300,6.71e+006,2407.18
116.5,3300,6.71e+006,2417.86
117,3300,6.71e+006,2428.14
117.5,3300,6.3101e+006,2438.42
118,3300,6.3101e+006,2449.09
118.5,3300,6.3101e+006,2459.77
119,3300,6.3901e+006,2470.05
119.5,3300,6.3901e+006,2480.33
120,3300,6.3901e+006,2490.21
120.5,3300,6.1502e+006,2500.49
121,3300,6.1502e+006,2510.77
121.5,3300,6.1502e+006,2521.05
122,3300,6.3101e+006,2531.73
122.5,3300,6.3101e+006,2542.01
123,3300,6.3101e+006,2552.29
123.5,3300,6.2301e+006,2562.57
124,3300,6.2301e+006,2572.45
124.5,3300,6.2301e+006,2582.73
125,3300,6.1502e+006,2593.01
125.5,3300,6.1502e+006,2603.29
126,3300,6.1502e+006,2613.57
126.5,3300,6.3101e+006,2624.24
127,3300,6.3101e+006,2634.92
127.5,3300,6.3101e+006,2645.6
128,3300,6.55e+006,2656.67
128.5,3300,6.55e+006,2667.74
129,3300,6.55e+006,2679.6
129.5,3300,6.9499e+006,2691.07
130,3300,6.9499e+006,2702.93
130.5,3300,6.9499e+006,2715.19
131,3300,7.2698e+006,2727.05
131.5,3300,7.2698e+006,2739.31
132,3300,7.2698e+006,2751.57
132.5,3300,7.2698e+006,2763.04
133,3300,7.2698e+006,2774.51
133.5,3300,7.2698e+006,2785.58
134,3300,6.71e+006,2796.25
134.5,3300,6.71e+006,2806.93
135,3300,6.71e+006,2817.61
135.5,3300,6.3101e+006,2827.49
136,3300,6.3101e+006,2837.37
136.5,3300,6.3101e+006,2847.26
137,3300,6.0702e+006,2857.54
137.5,3300,6.0702e+006,2868.21
138,3300,6.0702e+006,2878.89
138.5,3300,6.4701e+006,2889.56
139,3300,6.4701e+006,2900.24
139.5,3300,6.4701e+006,2910.52
140,3300,6.3901e+006,2921.19
140.5,3300,6.3901e+006,2931.47
141,3300,6.3901e+006,2941.75
141.5,3300,6.2301e+006,2952.03
142,3300,6.2301e+006,2962.31
142.5,3300,6.2301e+006,2972.59
143,3300,6.3101e+006,2983.27
143.5,3300,6.3101e+006,2993.15
144,3300,6.3101e+006,3003.43
144.5,3300,6.1502e+006,3013.71
145,3300,6.1502e+006,3024.39
145.5,3300,6.1502e+006,3035.06
146,3300,6.55e+006,3046.13
146.5,3300,6.55e+006,3057.21
147,3300,6.55e+006,3068.67
147.5,3300,6.8699e+006,3080.14
148,3300,6.8699e+006,3091.61
148.5,3300,6.8699e+006,3103.08
149,3300,7.0299e+006,3114.94
149.5,3300,7.0299e+006,3126.01
150,3300,7.0299e+006,3137.48
150.5,3300,6.8699e+006,3148.94
151,3300,6.8699e+006,3160.02
151.5,3300,6.8699e+006,3171.48
152,3300,6.71e+006,3182.16
152.5,3300,6.71e+006,3193.23
153,3300,6.71e+006,3203.91
153.5,3300,6.63e+006,3214.98
154,3300,6.63e+006,3225.65
154.5,3300,6.63e+006,3236.33
155,3300,6.4701e+006,3247
155.5,3300,6.4701e+006,3257.28
156,3300,6.4701e+006,3267.96
156.5,3300,6.3101e+006,3278.24
157,3300,6.3101e+006,3288.92
157.5,3300,6.3101e+006,3299.19
158,3300,6.3901e+006,3309.87
158.5,3300,6.3901e+006,3320.55
159,3300,6.3901e+006,3331.22
159.5,3300,6.3901e+006,3341.5
160,3300,6.3901e+006,3351.78
160.5,3300,6.3901e+006,3362.06
161,3300,6.3101e+006,3372.74
161.5,3300,6.3101e+006,3383.41
162,3300,6.3101e+006,3394.48
162.5,3300,6.55e+006,3405.16
163,3300,6.55e+006,3416.23
163.5,3300,6.55e+006,3426.91
164,3300,6.63e+006,3437.98
164.5,3300,6.63e+006,3448.65
165,3300,6.63e+006,3459.33
165.5,3300,6.55e+006,3470.4
166,3300,6.55e+006,3480.68
166.5,3300,6.55e+006,3491.36
167,3300,6.4701e+006,3502.43
167.5,3300,6.4701e+006,3512.71
168,3300,6.4701e+006,3523.78
168.5,3300,6.4701e+006,3534.45
169,3300,6.4701e+006,3545.13
169.5,3300,6.4701e+006,3556.2
170,3300,6.71e+006,3567.67
170.5,3300,6.71e+006,3579.14
171,3300,6.71e+006,3590.21
171.5,3300,6.8699e+006,3601.67
172,3300,6.8699e+006,3613.14
172.5,3300,6.8699e+006,3624.61
173,3300,6.8699e+006,3635.68
173.5,3300,6.8699e+006,3646.75
174,3300,6.8699e+006,3657.43
174.5,3300,6.55e+006,3668.1
175,3300,6.55e+006,3678.78
175.5,3300,6.55e+006,3689.45
176,3300,6.3901e+006,3699.73
176.5,3300,6.3901e+006,3710.01
177,3300,6.3901e+006,3720.69
177.5,3300,6.3901e+006,3731.37
178,3300,6.3901e+006,3742.44
178.5,3300,6.3901e+006,3753.51
179,3300,6.71e+006,3764.58
179.5,3300,6.71e+006,3775.65
180,3300,6.71e+006,3786.72
180.5,3300,6.63e+006,3797.4
181,3300,6.63e+006,3808.47
181.5,3300,6.63e+006,3819.54
182,3300,6.63e+006,3830.22
182.5,3300,6.63e+006,3840.89
183,3300,6.63e+006,3851.17
183.5,3300,6.2301e+006,3861.06
184,3300,6.2301e+006,3871.34
184.5,3300,6.2301e+006,3881.62
185,3300,6.0702e+006,3891.1
185.5,3300,6.0702e+006,3900.99
186,3300,6.0702e+006,3911.27
186.5,3300,6.2301e+006,3921.94
187,3300,6.2301e+006,3932.62
187.5,3300,6.2301e+006,3943.69
188,3300,6.55e+006,3954.37
188.5,3300,6.55e+006,3965.44
189,3300,6.55e+006,3976.9
189.5,3300,6.79e+006,3987.98
190,3300,6.79e+006,3999.44
190.5,3300,6.79e+006,4010.91
191,3300,6.9499e+006,4022.38
191.5,3300,6.9499e+006,4033.84
192,3300,6.9499e+006,4044.92
192.5,3300,6.8699e+006,4056.38
193,3300,6.8699e+006,4067.45
193.5,3300,6.8699e+006,4078.53
194,3300,6.63e+006,4089.2
194.5,3300,6.63e+006,4100.67
195,3300,6.63e+006,4111.74
195.5,3300,6.79e+006,4122.81
196,3300,6.79e+006,4133.88
196.5,3300,6.79e+006,4144.96
197,3300,6.71e+006,4156.03
197.5,3300,6.71e+006,4167.49
198,3300,6.71e+006,4178.57
198.5,3300,6.79e+006,4189.64
199,3300,6.79e+006,4200.31
199.5,3300,6.79e+006,4210.59
200,3300,6.3101e+006,4220.87
200.5,3300,6.3101e+006,4231.15
201,3300,6.3101e+006,4241.43
201.5,3300,6.1502e+006,4251.32
202,3300,6.1502e+006,4261.6
202.5,3300,6.1502e+006,4271.48
203,3300,6.1502e+006,4281.76
203.5,3300,6.1502e+006,4292.04
204,3300,6.1502e+006,4302.32
204.5,3300,6.2301e+006,4312.6
205,3300,6.2301e+006,4322.48
205.5,3300,6.2301e+006,4332.76
206,3300,6.2301e+006,4343.44
206.5,3300,6.2301e+006,4354.11
207,3300,6.2301e+006,4364.79
207.5,3300,6.4701e+006,4375.46
208,3300,6.4701e+006,4386.54
208.5,3300,6.4701e+006,4397.61
209,3300,6.71e+006,4408.68
209.5,3300,6.71e+006,4420.15
210,3300,6.71e+006,4431.61
210.5,3300,6.9499e+006,4443.08
211,3300,6.9499e+006,4454.94
211.5,3300,6.9499e+006,4467.2
212,3300,7.2698e+006,4479.07
212.5,3300,7.2698e+006,4490.93
213,3300,7.2698e+006,4502.4
213.5,3300,7.1098e+006,4514.26
214,3300,7.1098e+006,4525.73
214.5,3300,7.1098e+006,4536.8
215,3300,6.79e+006,4547.87
215.5,3300,6.79e+006,4558.15
216,3300,6.79e+006,4568.43
216.5,3300,6.3101e+006,4579.1
217,3300,6.3101e+006,4589.78
217.5,3300,6.3101e+006,4600.06
218,3300,6.2301e+006,4609.94
218.5,3300,6.2301e+006,4620.62
219,3300,6.2301e+006,4630.9
219.5,3300,6.3901e+006,4641.58
220,3300,6.3901e+006,4651.85
220.5,3300,6.3901e+006,4662.13
221,3300,6.2301e+006,4672.41
221.5,3300,6.2301e+006,4682.69
222,3300,6.2301e+006,4692.97
222.5,3300,6.3101e+006,4703.65
223,3300,6.3101e+006,4713.93
223.5,3300,6.3101e+006,4724.21
224,3300,6.1502e+006,4734.09
224.5,3300,6.1502e+006,4744.37
225,3300,6.1502e+006,4754.65
225.5,3300,6.1502e+006,4764.54
226,3300,6.1502e+006,4775.21
226.5,3300,6.1502e+006,4785.89
227,3300,6.55e+006,4796.96
227.5,3300,6.55e+006,4808.03
228,3300,6.55e+006,4819.5
228.5,3300,6.9499e+006,4831.36
229,3300,6.9499e+006,4843.22
229.5,3300,6.9499e+006,4855.09
230,3300,7.1898e+006,4866.95
230.5,3300,7.1898e+006,4879.21
231,3300,7.1898e+006,4891.07
231.5,3300,7.2698e+006,4902.94
232,3300,7.2698e+006,4914.01
232.5,3300,7.2698e+006,4925.47
233,3300,6.79e+006,4936.55
233.5,3300,6.79e+006,4947.22
234,3300,6.79e+006,4957.9
234.5,3300,6.3901e+006,4968.18
235,3300,6.3901e+006,4978.46
235.5,3300,6.3901e+006,4988.74
236,3300,6.3101e+006,4999.41
236.5,3300,6.3101e+006,5009.69
237,3300,6.3101e+006,5020.37
237.5,3300,6.3901e+006,5031.04
238,3300,6.3901e+006,5041.72
238.5,3300,6.3901e+006,5052.39
239,3300,6.4701e+006,5063.07
239.5,3300,6.4701e+006,5073.35
240,3300,6.4701e+006,5083.63
240.5,3300,6.2301e+006,5093.91
241,3300,6.2301e+006,5104.19
241.5,3300,6.2301e+006,5114.47
242,3300,6.2301e+006,5124.75
242.5,3300,6.2301e+006,5135.42
243,3300,6.2301e+006,5145.7
243.5,3300,6.3101e+006,5155.98
244,3300,6.3101e+006,5166.66
244.5,3300,6.3101e+006,5177.73
245,3300,6.55e+006,5188.41
245.5,3300,6.55e+006,5199.08
246,3300,6.55e+006,5210.15
246.5,3300,6.63e+006,5221.22
247,3300,6.63e+006,5232.69
247.5,3300,6.63e+006,5244.16
248,3300,6.8699e+006,5255.23
248.5,3300,6.8699e+006,5266.7
249,3300,6.8699e+006,5277.77
249.5,3300,6.79e+006,5288.84
250,3300,6.79e+006,5300.31
250.5,3300,6.79e+006,5311.38
251,3300,6.71e+006,5322.06
251.5,3300,6.71e+006,5333.13
252,3300,6.71e+006,5344.59
252.5,3300,6.79e+006,5355.67
253,3300,6.79e+006,5366.74
253.5,3300,6.79e+006,5377.81
254,3300,6.63e+006,5388.48
254.5,3300,6.63e+006,5399.16
255,3300,6.63e+006,5409.44
255.5,3300,6.3901e+006,5420.11
256,3300,6.3901e+006,5430.39
256.5,3300,6.3901e+006,5441.07
257,3300,6.3101e+006,5451.35
257.5,3300,6.3101e+006,5462.03
258,3300,6.3101e+006,5473.1
258.5,3300,6.4701e+006,5483.38
259,3300,6.4701e+006,5494.05
259.5,3300,6.4701e+006,5504.73
260,3300,6.4701e+006,5515.4
260.5,3300,6.4701e+006,5526.08
261,3300,6.4701e+006,5537.15
261.5,3300,6.63e+006,5548.22
262,3300,6.63e+006,5558.9
262.5,3300,6.63e+006,5570.37
263,3300,6.63e+006,5581.04
263.5,3300,6.63e+006,5591.72
264,3300,6.63e+006,5602.39
264.5,3300,6.3901e+006,5612.67
265,3300,6.3901e+006,5622.95
265.5,3300,6.3901e+006,5633.23
266,3300,6.2301e+006,5643.51
266.5,3300,6.2301e+006,5654.19
267,3300,6.2301e+006,5664.47
267.5,3300,6.3101e+006,5674.75
268,3300,6.3101e+006,5685.42
268.5,3300,6.3101e+006,5696.49
269,3300,6.71e+006,5707.96
269.5,3300,6.71e+006,5719.03
270,3300,6.71e+006,5730.5
270.5,3300,6.79e+006,5741.57
271,3300,6.79e+006,5753.04
271.5,3300,6.79e+006,5764.51
272,3300,6.8699e+006,5775.58
272.5,3300,6.8699e+006,5786.65
273,3300,6.8699e+006,5797.72
273.5,3300,6.71e+006,5808.79
274,3300,6.71e+006,5819.47
274.5,3300,6.71e+006,5830.14
275,3300,6.3901e+006,5840.42
275.5,3300,6.3901e+006,5850.7
276,3300,6.3901e+006,5861.38
276.5,3300,6.4701e+006,5872.45
277,3300,6.4701e+006,5883.52
277.5,3300,6.4701e+006,5894.99
278,3300,6.79e+006,5906.06
278.5,3300,6.79e+006,5917.53
279,3300,6.79e+006,5928.6
279.5,3300,6.79e+006,5939.67
280,3300,6.79e+006,5950.74
280.5,3300,6.79e+006,5961.42
281,3300,6.4701e+006,5971.7
281.5,3300,6.4701e+006,5982.37
282,3300,6.4701e+006,5992.65
282.5,3300,6.3101e+006,6002.93
283,3300,6.3101e+006,6013.21
283.5,3300,6.3101e+006,6022.7
284,3300,5.9902e+006,6032.58
284.5,3300,5.9902e+006,6042.47
285,3300,5.9902e+006,6052.75
285.5,3300,6.1502e+006,6063.03
286,3300,6.1502e+006,6073.31
286.5,3300,6.1502e+006,6084.38
287,3300,6.3901e+006,6094.66
287.5,3300,6.3901e+006,6105.33
288,3300,6.3901e+006,6116.4
288.5,3300,6.63e+006,6127.48
289,3300,6.63e+006,6138.55
289.5,3300,6.63e+006,6149.62
290,3300,6.79e+006,6161.09
290.5,3300,6.79e+006,6172.55
291,3300,6.79e+006,6183.62
291.5,3300,6.79e+006,6194.7
292,3300,6.79e+006,6205.77
292.5,3300,6.79e+006,6216.84
293,3300,6.79e+006,6228.31
293.5,3300,6.79e+006,6239.77
294,3300,6.79e+006,6250.85
294.5,3300,6.79e+006,6261.92
295,3300,6.79e+006,6272.99
295.5,3300,6.79e+006,6284.06
296,3300,6.71e+006,6295.13
296.5,3300,6.71e+006,6306.2
297,3300,6.71e+006,6317.27
297.5,3300,6.71e+006,6328.35
298,3300,6.71e+006,6339.02
298.5,3300,6.71e+006,6349.7
299,3300,6.4701e+006,6360.37
299.5,3300,6.4701e+006,6370.65
300,3300,6.4701e+006,6380.54
300.5,3300,6.0702e+006,6390.42
301,3300,6.0702e+006,6400.7
301.5,3300,6.0702e+006,6410.98
302,3300,6.2301e+006,6421.26
302.5,3300,6.2301e+006,6431.54
303,3300,6.2301e+006,6441.82
303.5,3300,6.2301e+006,6452.1
304,3300,6.2301e+006,6462.38
304.5,3300,6.2301e+006,6472.26
305,3300,6.1502e+006,6482.54
305.5,3300,6.1502e+006,6492.82
306,3300,6.1502e+006,6503.1
306.5,3300,6.3101e+006,6513.78
307,3300,6.3101e+006,6524.45
307.5,3300,6.3101e+006,6535.13
308,3300,6.55e+006,6546.2
308.5,3300,6.55e+006,6556.87
309,3300,6.55e+006,6568.34
309.5,3300,6.79e+006,6579.81
310,3300,6.79e+006,6592.07
310.5,3300,6.79e+006,6603.93
311,3300,7.1898e+006,6615.4
311.5,3300,7.1898e+006,6627.26
312,3300,7.1898e+006,6638.73
312.5,3300,7.0299e+006,6650.2
313,3300,7.0299e+006,6661.66
313.5,3300,7.0299e+006,6672.74
314,3300,6.71e+006,6683.41
314.5,3300,6.71e+006,6693.69
315,3300,6.71e+006,6703.97
315.5,3300,6.3101e+006,6714.65
316,3300,6.3101e+006,6724.93
316.5,3300,6.3101e+006,6734.81
317,3300,6.1502e+006,6745.09
317.5,3300,6.1502e+006,6755.77
318,3300,6.1502e+006,6766.84
318.5,3300,6.55e+006,6777.51
319,3300,6.55e+006,6787.79
319.5,3300,6.55e+006,6798.47
320,3300,6.3101e+006,6808.75
320.5,3300,6.3101e+006,6819.03
321,3300,6.3101e+006,6829.31
321.5,3300,6.2301e+006,6839.59
322,3300,6.2301e+006,6850.26
322.5,3300,6.2301e+006,6860.54
323,3300,6.3101e+006,6870.82
323.5,3300,6.3101e+006,6881.1
324,3300,6.3101e+006,6890.99
324.5,3300,6.1502e+006,6901.27
325,3300,6.1502e+006,6911.54
325.5,3300,6.1502e+006,6921.82
326,3300,6.3901e+006,6932.9
326.5,3300,6.3901e+006,6943.97
327,3300,6.3901e+006,6955.43
327.5,3300,6.79e+006,6966.51
328,3300,6.79e+006,6977.97
328.5,3300,6.79e+006,6989.44
329,3300,7.0299e+006,7001.3
329.5,3300,7.0299e+006,7013.17
330,3300,7.0299e+006,7024.63
330.5,3300,6.9499e+006,7035.71
331,3300,6.9499e+006,7046.78
331.5,3300,6.9499e+006,7057.85
332,3300,6.71e+006,7068.92
332.5,3300,6.71e+006,7079.6
333,3300,6.71e+006,7089.88
333.5,3300,6.3101e+006,7100.16
334,3300,6.3101e+006,7110.83
334.5,3300,6.3101e+006,7121.51
335,3300,6.3101e+006,7131.39
335.5,3300,6.3101e+006,7142.07
336,3300,6.3101e+006,7152.35
336.5,3300,6.3901e+006,7163.02
337,3300,6.3901e+006,7173.7
337.5,3300,6.3901e+006,7184.37
338,3300,6.4701e+006,7195.05
338.5,3300,6.4701e+006,7205.72
339,3300,6.4701e+006,7216.4
339.5,3300,6.3901e+006,7226.68
340,3300,6.3901e+006,7236.96
340.5,3300,6.3901e+006,7247.24
341,3300,6.3101e+006,7257.91
341.5,3300,6.3101e+006,7268.19
342,3300,6.3101e+006,7278.87
342.5,3300,6.4701e+006,7289.94
343,3300,6.4701e+006,7300.62
343.5,3300,6.4701e+006,7311.29
344,3300,6.55e+006,7322.36
344.5,3300,6.55e+006,7333.04
345,3300,6.55e+006,7343.72
345.5,3300,6.4701e+006,7354.39
346,3300,6.4701e+006,7365.46
346.5,3300,6.4701e+006,7376.14
347,3300,6.63e+006,7387.21
347.5,3300,6.63e+006,7397.88
348,3300,6.63e+006,7408.56
348.5,3300,6.55e+006,7419.63
349,3300,6.55e+006,7430.31
349.5,3300,6.55e+006,7440.98
350,3300,6.55e+006,7452.05
350.5,3300,6.55e+006,7463.13
351,3300,6.55e+006,7474.2
351.5,3300,6.63e+006,7484.87
352,3300,6.63e+006,7495.94
352.5,3300,6.63e+006,7507.02
353,3300,6.63e+006,7517.69
353.5,3300,6.63e+006,7528.37
354,3300,6.63e+006,7539.04
354.5,3300,6.3901e+006,7549.32
355,3300,6.3901e+006,7559.6
355.5,3300,6.3901e+006,7570.28
356,3300,6.3101e+006,7580.56
356.5,3300,6.3101e+006,7590.84
357,3300,6.3101e+006,7601.51
357.5,3300,6.4701e+006,7612.58
358,3300,6.4701e+006,7623.26
358.5,3300,6.4701e+006,7634.73
359,3300,6.63e+006,7645.4
359.5,3300,6.63e+006,7656.47
360,3300,6.63e+006,7667.55
360.5,3300,6.71e+006,7678.62
361,3300,6.71e+006,7689.29
361.5,3300,6.71e+006,7700.36
362,3300,6.63e+006,7711.44
362.5,3300,6.63e+006,7722.51
363,3300,6.63e+006,7732.79
363.5,3300,6.3901e+006,7743.07
364,3300,6.3901e+006,7753.35
364.5,3300,6.3901e+006,7763.23
365,3300,6.1502e+006,7773.51
365.5,3300,6.1502e+006,7783.39
366,3300,6.1502e+006,7793.28
366.5,3300,6.0702e+006,7803.56
367,3300,6.0702e+006,7814.23
367.5,3300,6.0702e+006,7824.91
368,3300,6.4701e+006,7835.58
368.5,3300,6.4701e+006,7846.66
369,3300,6.4701e+006,7857.73
369.5,3300,6.71e+006,7868.8
370,3300,6.71e+006,7880.27
370.5,3300,6.71e+006,7891.34
371,3300,6.71e+006,7902.01
371.5,3300,6.71e+006,7913.08
372,3300,6.71e+006,7924.16
372.5,3300,6.63e+006,7934.83
373,3300,6.63e+006,7945.9
373.5,3300,6.63e+006,7956.58
374,3300,6.4701e+006,7966.86
374.5,3300,6.4701e+006,7977.53
375,3300,6.4701e+006,7988.21
375.5,3300,6.55e+006,7999.28
376,3300,6.55e+006,8010.35
376.5,3300,6.55e+006,8021.42
377,3300,6.71e+006,8032.5
377.5,3300,6.71e+006,8043.96
378,3300,6.71e+006,8055.43
378.5,3300,6.9499e+006,8066.9
379,3300,6.9499e+006,8077.97
379.5,3300,6.9499e+006,8088.25
380,3300,6.4701e+006,8098.92
380.5,3300,6.4701e+006,8109.2
381,3300,6.4701e+006,8119.48
381.5,3300,6.2301e+006,8129.76
